,MDDN,MDUN,MDDS,MDUS,MDDF,MDUF,VMDN,VMUN,VMDS,VMUS,VMDF,VMUF,TPVDN,TPVUN,TPVDS,TPVUS,TPVDF,TPVUF,AMPDN,AMPUN,AMPDS,AMPUS,AMPDF,AMPUF
,0.72,0.68,1.43,1.49,0.53,0.53,1639.0850303191655,1869.9999305594247,841.7712711698186,712.2584245473604,2386.930999412766,2494.6478382167243,0.5277777777777778,0.47058823529411764,0.4825174825174825,0.44966442953020136,0.49056603773584906,0.49056603773584906,672.22857911516,705.0648373918378,628.233356480719,708.6088479990987,734.5745089070615,766.3014239617858
,0.65,0.72,1.24,1.36,0.54,0.51,1897.6329845929968,1732.6944120973621,924.1749268122703,904.7978897496364,2219.589608464139,2638.2405943891854,0.5230769230769231,0.5138888888888888,0.5,0.47794117647058826,0.5,0.49019607843137253,695.245692497091,708.9304018160954,649.8269716973522,715.7994522802052,693.1835088204764,779.9855164079306
,0.98,0.6,1.37,1.42,0.5,0.51,1247.5051509282707,2081.834812714874,867.6600149020032,947.1634201315965,2659.178313442976,2613.742849217897,0.5612244897959183,0.5,0.5036496350364964,0.2887323943661972,0.5,0.49019607843137253,691.6856875029506,712.5421433053717,647.757012493799,691.5980622529595,775.6841899491037,774.3216072829338
,0.86,0.63,1.69,1.22,0.52,0.51,1333.1003148196487,2043.1160953745803,597.6965614553478,898.4783913492493,2430.3316820200052,2503.328402299644,0.5,0.49206349206349204,0.6627218934911243,0.5327868852459017,0.5,0.49019607843137253,629.1606108196111,729.2479597182856,657.1925844642691,706.0384131577146,734.2402263122895,744.5569966065782
,1.14,0.67,1.8,1.86,0.52,0.51,996.8160951402751,1788.649943311134,631.6738448640763,821.3139086426509,2498.133504251564,2530.4914208361424,0.49122807017543857,0.4925373134328358,0.3611111111111111,0.21505376344086022,0.5,0.5098039215686274,660.2826562252135,672.248538143345,670.6695965305399,708.3047338616684,749.9272351391431,755.1437687418738
,0.76,1.05,1.69,2.2,0.56,0.52,1583.7749759951294,1088.5567689835057,677.1032808772588,538.6447294938534,2200.8757516911373,2556.0395433477424,0.4473684210526316,0.44761904761904764,0.5857988165680473,0.2590909090909091,0.5,0.5192307692307693,664.3901201342121,683.90623080339,674.4689026757646,701.9409444109667,701.8686755903941,773.6177916957377
,0.88,0.7,1.69,1.77,0.51,0.52,1290.1100086879524,1711.19920825264,616.1469053419523,713.8587203752877,2430.044585002315,2353.3462008105516,0.5113636363636364,0.4714285714285714,0.33727810650887574,0.2824858757062147,0.49019607843137253,0.5,627.7397301704273,671.316090461995,628.749105805439,665.8906217279297,721.4892555108464,705.8989093215864
,1.03,0.69,1.91,2.06,0.51,0.51,1033.7476532999517,1774.5406497553631,535.1983987548692,914.8353027186886,2602.093650138795,2516.5914961396766,0.5145631067961165,0.4782608695652174,0.49214659685863876,0.18446601941747573,0.5098039215686274,0.5098039215686274,644.8789665821687,679.6026345762796,626.4525534754189,659.757183152237,773.5503877253603,746.3223034594004
,0.82,0.74,1.99,2.06,0.53,0.5,1423.2612255737422,1665.9506862972648,435.2958082776695,709.0272694668556,2312.440673828223,2709.8026100998823,0.4878048780487805,0.5,0.36683417085427134,0.2961165048543689,0.49056603773584906,0.52,645.3646898966026,687.7766957983351,620.5298294001135,690.9022928587964,712.7264103094237,782.6743934005291
,0.84,0.74,2.0,2.31,0.5,0.51,1328.789077932197,1684.1279366857634,488.73104510632857,518.7508668770192,2589.269297421947,2445.8566700680194,0.5357142857142857,0.5,0.47,0.33766233766233766,0.5,0.5098039215686274,630.9599924219889,701.5992617673369,628.0323127510363,701.6808954470285,756.3613263474646,728.1778196036366
,0.9,0.86,2.23,2.24,0.51,0.51,1277.2349660915097,1467.7830607259239,387.7628394379599,583.9742951143194,2452.28513691402,2623.746939025841,0.4666666666666667,0.47674418604651164,0.4439461883408072,0.26785714285714285,0.5098039215686274,0.5098039215686274,625.2080542154058,710.4973503782189,594.3924083012088,700.2885882290504,724.5947833117617,775.4888212068553
,0.91,0.98,2.39,1.76,0.49,0.51,1204.4488869868474,1105.5755742486667,519.4598931520204,556.2789405561148,2562.4963064157782,2485.9956488915714,0.5274725274725275,0.46938775510204084,0.37656903765690375,0.23295454545454544,0.5102040816326531,0.5098039215686274,633.1757704928182,645.4993748896479,658.3075946789272,696.7034739963636,736.9012215641194,737.4317467095706
,0.82,0.77,1.02,1.52,0.51,0.52,1394.0136142875645,1697.0589457368305,1285.3603533822138,894.3880650502365,2429.1205208278825,2417.550943276649,0.5121951219512195,0.5064935064935064,0.6568627450980392,0.28289473684210525,0.5098039215686274,0.4807692307692308,633.3309521443679,736.3528324976827,634.0124394556244,698.6106159343564,722.1609430806966,724.5096628138652
,0.94,0.51,2.61,1.82,0.51,0.52,1257.0421923649292,2445.8566700680194,367.7389087622487,597.6909125534462,2522.523389625667,2410.664802664269,0.5212765957446809,0.5098039215686274,0.30268199233716475,0.2857142857142857,0.5098039215686274,0.5,645.0636296358523,728.1778196036366,660.9932593327919,705.239213971746,750.7582606900646,720.7501091981137
,0.87,0.73,2.28,1.94,0.51,0.52,1402.1246455716664,1781.6181175928932,373.9139112339899,593.1431937504385,2494.2737922243623,2694.9444798296327,0.5402298850574713,0.4931506849315068,0.39035087719298245,0.27835051546391754,0.5098039215686274,0.5,666.5314982656353,736.949152734433,598.7446973067908,674.5112757665727,734.511743687335,811.3861940494862
,0.83,0.76,NA,1.78,0.51,0.51,1470.9115932871555,1512.9807911171156,NA,711.965958980602,2543.9144448642537,2648.6071118824384,0.5662650602409639,0.5131578947368421,NA,0.3089887640449438,0.5098039215686274,0.49019607843137253,658.9236902499258,647.2666442569922,NA,646.4192430865231,750.9758167430952,780.3800273067826
,1.1,0.71,NA,2.13,0.53,0.53,1103.3524278395817,1817.9069848370546,NA,576.3892174842226,2299.318014183632,2515.273654780617,0.4,0.49295774647887325,NA,0.3474178403755869,0.5094339622641509,0.5094339622641509,649.8373074135721,727.158899084207,NA,688.3870938711497,706.3534728274852,774.2953827829685
,0.85,0.72,NA,NA,0.51,0.51,1468.5645404114211,1684.4328013525,NA,NA,2472.3058449658765,2429.4602721892716,0.4588235294117647,0.4861111111111111,NA,NA,0.5098039215686274,0.49019607843137253,705.1087681209631,684.6609081357158,NA,NA,733.5916520705653,720.862228770977
,1.07,0.82,NA,NA,0.51,0.51,1234.0739874265068,1446.5313273105494,NA,NA,2612.0465015534364,2619.374748664177,0.616822429906542,0.4878048780487805,NA,NA,0.5098039215686274,0.5098039215686274,670.6786812375225,659.0453285044315,NA,NA,777.3194197367168,770.2104832268681
,1.07,1.02,NA,NA,0.52,0.51,1094.8037524216943,1288.6599281231383,NA,NA,2370.4956065466604,2519.6778725484023,0.4953271028037383,0.4117647058823529,NA,NA,0.5,0.49019607843137253,658.402644983413,724.6192694538748,NA,NA,711.6614907971779,743.6785387979331
